id;placed_date;status;total_price;payment_method;payment_reference;payment_modification_reference;customer_details_id
1;2020-04-23T19:19:50;OPEN;33498;IDEAL;Cambridgeshire invoice Buckinghamshire;withdrawal Configuration Multi-channelled;1
2;2020-04-24T00:43:18;PENDING;94970;CREDIT_CARD;Developer;program;2
3;2020-04-23T19:14:33;REFUND_FAILED;6346;IDEAL;COM;Ford;2
4;2020-04-23T15:19:23;CANCELLED;87708;CREDIT_CARD;Branding enhance;generate invoice;1
5;2020-04-24T07:30:21;REFUND_INITIATED;46169;CREDIT_CARD;bleeding-edge;port;2
6;2020-04-23T18:42:52;PENDING;80;CREDIT_CARD;Small Music service-desk;Steel Car;1
7;2020-04-24T03:55:41;CANCELLED;26697;IDEAL;Cliff;markets;2
8;2020-04-23T14:13:37;CANCELLED;34860;IDEAL;neural withdrawal;aggregate;2
9;2020-04-23T09:15:12;PAID;25972;IDEAL;Loan;Corporate Maryland;1
10;2020-04-23T20:11:59;CANCELLED;17262;CREDIT_CARD;mission-critical schemas salmon;Programmable SMTP;2
